Name,Rating,Rating Count,Price,Category,Platform
"YouTube: Watch, Listen, Stream",4.5,12036084,0.0,Photo & Video,iOS
Spotify: Music and Podcasts,5.0,11687033,0.0,Music,iOS
Venmo,5.0,7747894,0.0,Finance,iOS
DoorDash - Food Delivery,5.0,5541964,0.0,Food & Drink,iOS
Fortnite,4.5,5117253,0.0,Games,iOS
Bible,5.0,5055799,0.0,Reference,iOS
Shazam,5.0,4634749,0.0,Music,iOS
Domino's Pizza USA,5.0,4281557,0.0,Food & Drink,iOS
Starbucks,5.0,3515438,0.0,Food & Drink,iOS
Southwest Airlines,5.0,3333564,0.0,Travel,iOS
Clash of Clans,4.5,3245970,0.0,Games,iOS
TikTok - Make Your Day,4.5,3237638,0.0,Entertainment,iOS
Google Maps - Transit & Food,4.5,3141729,0.0,Navigation,iOS
Wells Fargo Mobile,5.0,3134446,0.0,Finance,iOS
PayPal: Mobile Cash,5.0,3065511,0.0,Finance,iOS
Chase Mobile®,5.0,2623884,0.0,Finance,iOS
Discover Mobile,5.0,2565765,0.0,Finance,iOS
Audible audiobooks & originals,5.0,2456760,0.0,Book,iOS
Sniper 3D: Gun Shooting Games,5.0,2443890,0.0,Games,iOS
Roblox,4.5,2322399,0.0,Games,iOS
Candy Crush Saga,4.5,2223676,0.0,Games,iOS
Golf Clash,4.5,2036782,0.0,Games,iOS
8 Ball Pool™,4.5,1948067,0.0,Games,iOS
Amazon Kindle,4.5,1871585,0.0,Book,iOS
Episode - Choose Your Story,4.5,1859063,0.0,Games,iOS
Temple Run,4.5,1853952,0.0,Games,iOS
Draw Something Classic,4.5,1805004,0.0,Games,iOS
GEICO Mobile - Car Insurance,5.0,1802919,0.0,Finance,iOS
Bank of America Mobile Banking,4.5,1801290,0.0,Finance,iOS
Grubhub: Local Food Delivery,4.5,1776236,0.0,Food & Drink,iOS
Citi Mobile®,5.0,1687766,0.0,Finance,iOS
Toon Blast,4.5,1684914,0.0,Games,iOS
Amazon Prime Video,5.0,1608548,0.0,Entertainment,iOS
Uber Eats: Order Food Delivery,5.0,1593856,0.0,Food & Drink,iOS
"SiriusXM-Music, Comedy, Sports",4.5,1577845,0.0,Music,iOS
OpenTable,5.0,1517993,0.0,Food & Drink,iOS
Clash Royale,4.5,1502394,0.0,Games,iOS
"Ticketmaster－Buy, Sell Tickets",4.5,1454446,0.0,Entertainment,iOS
MyFitnessPal,4.5,1428198,0.0,Health & Fitness,iOS
Hole.io,4.5,1371323,0.0,Games,iOS
Microsoft Outlook,4.5,1356551,0.0,Productivity,iOS
Words With Friends Classic,4.5,1351769,0.0,Games,iOS
Helix Jump,4.5,1336154,0.0,Games,iOS
Amex,5.0,1281000,0.0,Finance,iOS
Hulu: Stream TV shows & movies,4.5,1211142,0.0,Entertainment,iOS
Happy Color™ – Color by Number,5.0,1170328,0.0,Games,iOS
ClassDojo,5.0,1165030,0.0,Education,iOS
Canvas Student,4.5,1125147,0.0,Education,iOS
StubHub: Event Tickets,5.0,1106401,0.0,Entertainment,iOS
ADP Mobile Solutions,4.5,1104127,0.0,Business,iOS
Robinhood: Invest. Save. Earn.,5.0,1061320,0.0,Finance,iOS
PicCollage Grid & Photo Editor,5.0,1040657,0.0,Photo & Video,iOS
Chick-fil-A,5.0,1034417,0.0,Food & Drink,iOS
Indeed Job Search,4.5,1030576,0.0,Business,iOS
PINK Nation,5.0,1018170,0.0,Lifestyle,iOS
Fidelity Investments,4.5,1005779,0.0,Finance,iOS
Pixel Gun 3D: FPS PvP Shooter,4.5,987016,0.0,Games,iOS
Subway Surfers,4.5,959744,0.0,Games,iOS
ESPN Fantasy Sports,4.5,942273,0.0,Sports,iOS
Crossy Road,4.5,941921,0.0,Games,iOS
Postmates - Food Delivery,5.0,931263,0.0,Food & Drink,iOS
BitLife - Life Simulator,5.0,910937,0.0,Games,iOS
YouTube Kids,4.5,888894,0.0,Entertainment,iOS
HP Smart,5.0,869256,0.0,Productivity,iOS
USAA Mobile,5.0,844653,0.0,Finance,iOS
Bike Race: Free Style Games,5.0,837145,0.0,Games,iOS
Trulia Real Estate: Find Homes,4.5,833941,0.0,Lifestyle,iOS
PUBG MOBILE - 2nd Anniversary,4.5,827582,0.0,Games,iOS
Sudoku.com - Brain Games,4.5,825738,0.0,Games,iOS
FaceApp - AI Face Editor,4.5,825560,0.0,Photo & Video,iOS
Tomb of the Mask,4.5,816342,0.0,Games,iOS
Mario Kart Tour,5.0,806471,0.0,Games,iOS
Trivia Crack,4.5,795953,0.0,Games,iOS
MADDEN NFL MOBILE FOOTBALL,4.5,791672,0.0,Games,iOS
CSR Racing 2 - #1 Racing Games,5.0,790110,0.0,Games,iOS
Call of Duty®: Mobile,5.0,789326,0.0,Games,iOS
Roku,4.5,788464,0.0,Entertainment,iOS
Minecraft,4.5,787112,6.99,Games,iOS
Mint: Personal Finance & Money,4.5,785903,0.0,Finance,iOS
Rise Up,4.5,785736,0.0,Games,iOS
Panera Bread,5.0,782815,0.0,Food & Drink,iOS
Solitaire·,4.5,780831,0.0,Games,iOS
U.S. Bank,4.5,774842,0.0,Finance,iOS
Angry Birds 2,4.5,773152,0.0,Games,iOS
Discord,5.0,770575,0.0,Social Networking,iOS
Coinbase – Buy & sell Bitcoin,4.5,762870,0.0,Finance,iOS
Sandbox Pixel Coloring,4.5,759318,0.0,Entertainment,iOS
Sonos Controller,4.5,751576,0.0,Music,iOS
CSR Racing,4.5,736291,0.0,Games,iOS
Crowd City,4.5,734338,0.0,Games,iOS
Injustice: Gods Among Us,4.5,732018,0.0,Games,iOS
SAP Concur,4.5,709807,0.0,Business,iOS
InShot - Video Editor,5.0,698293,0.0,Photo & Video,iOS
Yelp－Food & Services Around Me,4.0,697530,0.0,Travel,iOS
Merge Plane - Best Idle Game,5.0,696705,0.0,Games,iOS
Fruit Ninja Classic,4.5,696327,1.99,Games,iOS
Dragon City Mobile,4.5,682394,0.0,Games,iOS
Move the Box,4.5,674132,0.0,Games,iOS
Google Sheets,5.0,658467,0.0,Productivity,iOS
ESPN: Live Sports & Scores,4.0,656850,0.0,Sports,iOS
Groupon,4.5,645785,0.0,Shopping,iOS
"Libby, by OverDrive",5.0,638424,0.0,Book,iOS
Minion Rush,4.5,613172,0.0,Games,iOS
PNC Mobile Banking,5.0,599501,0.0,Finance,iOS
Marvel Contest of Champions,4.5,593557,0.0,Games,iOS
⋆Solitaire,4.5,583500,0.0,Games,iOS
"TuneIn - NFL, NBA & News Radio",4.5,578598,0.0,Music,iOS
AMAZE!!!,4.5,577898,0.0,Games,iOS
DoubleDown Casino Slots Games,4.5,571773,0.0,Games,iOS
Acorns: Invest Spare Change,4.5,568645,0.0,Finance,iOS
What's the Word? - words quiz,5.0,566916,0.0,Games,iOS
DragonVale,4.5,565924,0.0,Games,iOS
Temple Run 2,4.5,549722,0.0,Games,iOS
Clear Vision (17+),4.5,546390,0.99,Games,iOS
Brawl Stars,5.0,541540,0.0,Games,iOS
Smurfs' Village,4.5,539850,0.0,Games,iOS
Xbox,4.5,539743,0.0,Entertainment,iOS
Head Soccer,5.0,539102,0.0,Games,iOS
Asphalt 9: Legends,5.0,537798,0.0,Games,iOS
Kim Kardashian: Hollywood,4.5,536916,0.0,Games,iOS
Wattpad - Books & Stories,4.5,527436,0.0,Book,iOS
Colorfy: Coloring Art Game,5.0,526156,0.0,Entertainment,iOS
Homescapes,4.5,522178,0.0,Games,iOS
Xoom Money Transfer,5.0,521926,0.0,Finance,iOS
PAC-MAN,3.0,520139,0.0,Games,iOS
Sonic Dash,4.5,519922,0.0,Games,iOS
Plants vs. Zombies™ 2,4.5,517763,0.0,Games,iOS
Word Cookies!®,4.5,514152,0.0,Games,iOS
Scanner App: PDF Document Scan,4.5,514143,0.0,Business,iOS
Credit One Bank Mobile,4.5,506831,0.0,Finance,iOS
Amazon Music,4.5,505849,0.0,Music,iOS
"iHeart: Radio, Music, Podcasts",4.0,500916,0.0,Music,iOS
Snake VS Block,4.5,500490,0.0,Games,iOS
YOLO: Anonymous Q&A,4.5,500484,0.0,Social Networking,iOS
Wordscapes,5.0,500417,0.0,Games,iOS
Redfin Buy & Sell Real Estate,5.0,499780,0.0,Lifestyle,iOS
Panda Pop! Bubble Shooter Game,4.5,498760,0.0,Games,iOS
Flixster - Showtimes + Tickets,3.5,494316,0.0,Entertainment,iOS
Love Balls,4.5,489879,0.0,Games,iOS
Dig This!,4.5,489004,0.0,Games,iOS
Uber Driver,4.5,484846,0.0,Business,iOS
IMDb: Movies & TV Shows,4.5,482502,0.0,Entertainment,iOS
SONIC Drive-In,5.0,481998,0.0,Food & Drink,iOS
Netflix,3.5,479431,0.0,Entertainment,iOS
Fallout Shelter,4.5,478874,0.0,Games,iOS
Funimate Video Musical Editor,4.5,475582,0.0,Photo & Video,iOS
Idle Capitalist,5.0,475372,0.0,Games,iOS
